"p_id","category","product_name","price","descript","color"

1,1,3M Scotch Magic Tape,1.65,The original invisible tape that is fit to do the job.,NULL
2,1,3M Scotch Scissors,3.75,Equipped with high quality stainless steal blades that are perfect for fabrics paper and photos.,NULL
3,1,Scotch Brand 860 Adhesive Putty Removable,4.40,This adhesive putty solution works on most porous and non-porous surfaces.,NULL
4,1,3M Scotch Tough Duct Tape,3.80,Tough Duct Tape black in color is the doctor to all things broken and easily tears by hand.,NULL
5,1,3M Scotch Transparent Tape,1.25,Scotch Transparent Tape is ideal for multipurpose sealing and label protection.,NULL
6,1,3M Scotch Ultra Clear Packing Tape,2.95,Scotch Ultra Clear Packing Tape is ideal for sealing large boxes and containers.,NULL
7,1,Acco 100-Count Paper Clips,0.45,Acco Paper Clips is ideal for binding papers together without the use of staples.,NULL
8,1,Advantage Rubber Bands,1.35,Advantage Rubber Bands is easy to stretch yet durable to keep any form of documents or items together.,NULL
9,1,Homecube Pencil Case Big Capacity Pencil Bag ,8.95,Homecube pencil case has a lot of room and includes an easy-to-view compartment.,NULL
10,1,Maped ErgoLogic Stapler,2.35,Maped ErgoLogic Stapler is perfect for keeping any form of document stapled together.,NULL
11,1,Maped GreenLogic Stapler,1.85,Maped GreenLogic Stapler is perfect for keeping any form of document stapled together.,NULL
12,1,Pentel 12-Piece .5mm Lead,0.99,Pentel.5mm Lead is great for taking notes or sketching a masterpiece.,NULL
13,1,Pentel 12-Piece .7mm Lead,0.99,Pentel 12-Piece .7mm Lead is great for taking notes or sketching a masterpiece.,NULL
14,1,Pentel RSVP Fine Pen Black,0.90,Pentel RSVP Fine Pen Black writes smooth using a stainless steel tip move throughout the paper.,NULL
15,1,Pentel RSVP Medium Pen Red,0.90,Pentel RSVP Fine Pen Red writes smooth using a stainless steel tip move throughout the paper.,NULL
16,1,Pilot G2 8-Pack Pen Assorted,9.25,Pilot G2 pen writes smoothly and lasts longer than the average competitive brands.,NULL
17,1,Pilot G2 Pen Black,1.85,Pilot G2 pen writes smoothly and lasts longer than the average competitive brands.,NULL
18,1,Pilot G2 Pen Blue,1.85,Pilot G2 pen writes smoothly and lasts longer than the average competitive brands.,NULL
19,1,Sharpie 4-Pack Pen Assorted,7.65,Sharpie remarkably resilient ink dries quickly and resists both fading and water; AP certified.,NULL
20,1,Zebra MF301 2-Pack Pencil/Pen,4.75,Zebra's Steel line offers a collection of remarkable writing instruments that are a significant upgrade from everyday plastic pens.,NULL
21,1,Zebrite 5-Pack Highlighter Assorted,6.15,The Zebra Mildliner pen features a broad and fine point tip for all hand lettering and marking applications.,NULL
22,2,At-A-Glance 2019-2020 Planner,5.95,At-A-Glance Planner helps you to stay up-to-date with any upcoming events ranging from school work to recreational outings.,NULL
23,2,Mead 1-Subject College Ruled Notebook 5" x 7",3.20,Mead notebook has a sturdy cardboard allows you to write without a desk surface.,NULL
24,2,Cambridge Limited Action Planner Notebook,7.50,Cambridge Limited Action Planner helps you to stay up-to-date with any upcoming events ranging from school work to recreational outings.,NULL
25,2,Oxford FocusNotes Composition Notebook 7.5" x 9.75",2.95,Cornell-ruled provides a systematic format for condensing and organizing notes.,NULL
26,2,Georgia-Pacific Standard 500-Sheet Multipurpose Paper,4.25,This versatile paper comes with no frills or fuss – just dependable quality you can trust for those daily tasks around the home or office.,NULL
27,2,TOPS The Legal Pad Writing Pads 50-Sheets,0.95,TOPS The Legal Pad Writing Pads offer the ultimate value in reliable everyday legal pads for home or office.,NULL
28,2,Mead 100-Count 4 x 6 Flash Plain Cards,1.20,Mead Index Card - 4" x 6" - 100/Pack - White.,NULL
29,2,Mead 3 x 2.5 Color Index Cards 200-Cards,6.40,Mead Printable Index Card adds color to your notes.,NULL
30,2,Mead 3 x 5 Ruled Colored Index Cards 70-Cards,4.65,Mead Colored Index Card adds color to your notes.,NULL
31,2,Mead 4 x 6 Ruled Index Cards,0.65,Mead ruled index cards are ideal for quick note taking or studying.,NULL
32,2,Mead Five Star 1-Subject College Ruled Spiral Notebook,5.55,Mead Five Star notebook has a sturdy cardboard allows you to write without a desk surface.,NULL
33,2,Oxford 3 x 5 Dot Grid Index Cards,0.95,A versatile choice - use horizontally or vertically.,NULL
34,2,Oxford 3 x 5 Spiral Ruled Index Cards,1.55,Oxford spiral design keeps all your notes self-contained for easy reference while the perforated edge allows for easy removal of cards.,NULL
35,2,PCC 1-Subject Spiral Notebook,3.75,PCC's very own spiral note book that consists of neat sheet perforated pages for clean tear-out.,NULL
36,2,PCC 2019 Activity Planner,5.00,PCC's planner that keeps you up to date with all upcoming events held at PCC. The planner also helps you to remember the due dates of upcoming assignments.,NULL
37,2,PCC 3-Subject Spiral Notebook,4.25,PCC's very own spiral note book that is fit for 3 subject and consists of neat sheet perforated pages for clean tear-out.,NULL
38,2,PCC 5-Subject Spiral Notebook,6.10,PCC's very own spiral note book that is fit for 5 subject and consists of neat sheet perforated pages for clean tear-out.,NULL
39,2,Top Flight LXE 3 Subject Translucent Poly Cover Twin Wirebound Notebook,3.15,This 3-subject wirebound notebook has an oversized durable translucent die cut poly cover and is bound with a twin black wire.,NULL
40,4,Jansport Backpack,24.95,This padded backpack makes it easy to carry your gear and has a front pocket that offers an organizer to allow separate spaces for different items.,NULL
41,4,Under Armour Storm Contender Backpack,51.99,UA Storm technology delivers an element-battling and highly water-resistant finish that is perfect for any occasion.,NULL
42,5,Centon 16GB Flash Drive,8.95,Classic USB 2.0 flash drive  that provides reliable storage for all your digital files.,NULL
43,6,Bienfang Watercolor Paper Pad 9-Inch by 12-Inch,6.70,Medium white watercolor paper with medium surface texture that is excellent for use with watercolor and mixed media.,NULL
44,6,Bienfang Graphics 360 12 by 9-Inch Translucent Marker Paper,16.95,Bienfang Paper Retains true color with permanent as well as watercolor markers.,NULL
45,6,Strathmore 300 Series Paper 40 Sheet Disposable Palette,4.45,Strathmore 300 Series Paper Palette has a surface covered with a special plastic coating so that the paints mixes easily and never soaks through.,NULL
46,6,General Tri-Tip White Eraser,2.00, General Tri-Tip White Eraser soft Factis eraser perfect for charcoal pastel and graphite. It is also ideal for fine papers and precision erasing.,NULL
47,6,Futura White Card Stock - 18 x 12 in 80 lb Cover Gloss Paper,0.25,Futura gloss paper is coated on both sides and provides perfect digital printing that rivals offset quality.,NULL
48,6,Gorilla Super Glue 0.53 Oz.,4.97,Its high strength and quick set time make Gorilla Super Glue the go-to for a variety of household projects. Developed for long-lasting repairs in an instant.,NULL
49,6,Kum Art Pencil Sharpener,6.50, KUM's innovative blade technology with Dynamic Torsion Action ensures the smoothest cuts with the least chance of pencil tip breakage.,NULL
50,6,Lyra Art Design Drawing Pencils,12.20,Lyra's Art Pencil is made with premium graphite that has break resistance leads.,NULL
51,6,Sta-Wet Handy Palete Acrylic Paper,17.20,Sta-Wet Handy Palete Acrylic Paper is perfectly sized for small projects or classroom use and keeps paints moist for days—even weeks!,NULL

52,7,God's Little Devotional Book for boys,11.15,It only takes a few minutes every day to discover the God who loves you. He knows you and wants the very best for you. These pages are filled with fun devotions and stories along with powerful scriptures for boys.,NULL
53,7,I can Be kind my first manners book,5.15,Scripture teaches us to love our neighbors by treating them with kindness and respect. One aspect of kindness includes manners and this book will develop these behaviors into your children.,NULL
54,7,I prayed for you Jean Fischer,7.05,Mama bear surrounds her cub with love and shows the power of prayer. "Even before you were born. I prayed for you.",NULL
55,7,Thank you God for daddy,7.85,In this adorable board book there is a little lion cub thanks God for his wonderful daddy―a daddy who gives big hugs and piggy back rides.,NULL
56,7,God loves daddy & me,7.80,Cuddle up cozy-close with an adorable reminder of God’s love for daddies and their little ones.,NULL
57,7,Humble Heart (a book of virtues),11.15,Humble Heart: A Book of Virtues is a collection of nine delightful stories from illustrator and author Amy Meyer Allen based on her popular Humble Bumbles characters.,NULL
58,7,Bible story mazes,2.30,This 48 page full-color workbook is intended to encourage children to learn Bible stories from the New and Old Testaments.,NULL
59,7,The wonder devotional standing for God,1.50,The Wonder Devotional Book (What A God - Two months of daily devotionals).,NULL
60,7,Little Green Frog,6.85,Follow the Little Green Frog as he introduces your baby or toddler to his friends by the pond. Simple sentences reinforce future language structure while grasping and lifting the sturdy flaps helps develop fine motor skills.,NULL
61,7,Story time collections,12.35,Train-obsessed boys ages 2 to 5 will love this deluxe 320-page hardcover storybook collection with thirteen Thomas & Friends adventures.,NULL
62,7,Billy and blaze,5.75,Billy was a little boy who “loved horses more than anything else in the world.”,NULL
63,7,Blaze finds the trail,5.75,Billy and his pony Blaze love to explore the forest. So one day they set out on an old woodland road that is new to them.,NULL
64,8,Matthew Henry's commentary on the Whole Bible,15.25,The Most Popular Commentary Ever Written in a Easy-to-Read Modern Edition.,NULL
65,8,Matthew Poole's commentary on the Holy Bible V1,12.50,This book is useful and practical commentary on the whole Bible. It provides insight verse-by-verse.,NULL
66,8,Matthew Poole's commentary on the Holy Bible V2,12.50,This book is useful and practical commentary on the whole Bible. It provides insight verse-by-verse.,NULL
67,8,Matthew Poole's commentary on the Holy Bible V3,12.50,This book is useful and practical commentary on the whole Bible. It provides insight verse-by-verse.,NULL
68,8,The book of Ezekiel,19.75,The Book of Ezekiel is one of the major prophetic books in the Old Testament and had more influence on Revelation than any other book.,NULL
69,8,A Guide to the Psalms,15.75,An attempt is made by the arrangement of the text. Its is to indicate to some extent the principle of parallelism so characteristic of Hebrew poetry.,NULL
70,8,A Survey of the old testament,13.85,A Survey of the Old Testament provides an indispensable guide for undergraduate students and other readers.,NULL
71,8,Divinity Boutique Bible Business Report Cover,6.50,This Deluxe Faux leather Bible cover showcases exclusive hot stamp in intricate detail with scripture verse "I have Love you with an everlasting Love. " -Jeremiah 31: 3.,NULL
72,8,The old Scofield Study Bible,29.99,This easy-to-carry Bonded Leather edition of the renowned Old Scofield® Study Bible offers a wealth of study materials at a fantastic price.,NULL
73,8,KJV Study Bible Personal Size,25.99,The KJV Study Bible honors the beauty and majesty of the KJV by presenting the ONLY full-color King James Version study Bible available.,NULL
74,9,The Reagan Diaries,18.85,The diaries our 40th president kept while in office—edited and abridged by historian Brinkley (The Great Deluge)—are largely a straightforward political chronicle.,NULL
75,9,God and Ronald Reagan,15.25,Ronald Reagan is hailed today for a presidency that restored optimism to America. This book reveals his Christian faith.,NULL
76,9,Quiet Strength Thony Dungy,11.90,In this book Tony Dungy reveals the secrets to his success that have kept him on track.,NULL
77,9,Evidence not seen a woman's miraculous faith in the jungles of world war II,13.35,This is the true story of a young American missionary woman courage and triumph of faith in the jungles of New Guinea and her four years in a notorious Japanese prison camp.,NULL
78,9,God's smuggler (expanded edition Brother Andrew),11.55,This books reveals the harrowing account of a young man who risked his life to smuggle Bibles through the borders of closed nations.,NULL
79,10,The Hidden Flame (Acts of Faith),11.5.00,Popular Christian authors Bunn and Oke unite in the second installment in the Acts of Faith series to tell the story of Abigail.,NULL
80,10,The Centurion's Wife (Davis Bunn),11.55,Janette Oke has dreamed for years of retelling a story in a biblical time frame from a female protagonist's perspective. This epic drama is threaded with the tale of an unlikely romance and framed with dangers and betrayals from unexpected sources.,NULL
81,10,BLACKSTOCK Presumption of Guilt,12.00,Just one person can save the children from a terrifying future. Read more to discover more.,NULL
82,10,BLACKSTOCK Justifiable Means,12.00,A violent criminal with a knack for evading justice. A beautiful victim with a secret to hide. Between them stands one good cop that is torn between justice and the law.,NULL
83,10,BLACKSTOCK Evidence of Mercy,12.00,The plane crash nearly ended Lynda’s life. Was it an accident or sabotage?,NULL
84,10,Anne of Green Gables,6.75,Anne of Green Gables is a 1908 novel by Canadian author Lucy Maud Montgomery. This novel has been considered a children's novel since the mid-twentieth century.,NULL
85,10,Anne of Avonlea,6.25,Anne of Avonlea is a 1909 novel by Canadian author Lucy Maud Montgomery.,NULL
86,10,Anne of the Island,6.50,Anne of the Island is the third book in the Anne of Green Gables series.,NULL
87,10,Song of Encouragement by Francine Rivers,13.25,Discover five biblical men who quietly changed eternity without recognition or fame---knowing their reward wouldn't come until the next life.,NULL
88,26,Are these the last days,15.55,Jesus predicted the destruction of the Jewish temple in Jerusalem at the end of his ministry.,NULL
89,26,A Guide to the Textual criticism of the New Testament,15.99,This book was originally published prior to 1923 and represents a reproduction of an important historical work.,NULL
90,26,Thy Kingdom Come: Tracing God's Kingdom Program and Covenant promises Throughout History By Dwight Pentecost,13.99,A thorough study that traces the kingdom program from Genesis to Revelation.,NULL
91,26,The End Times (Herman A. Hoyt),12.99,This book is a well-documented and understandable guide to the end times and is used extensively as a text in Bible colleges.,NULL
92,26,Cruden's Complete Concordance,13.99,A Complete Concordance to the Holy Scriptures.,NULL
93,26,The New Strong's Exhaustive Concordance of the Bible,15.97,This book is the Exhaustive Concordance of the Bible that is an index of every word in the King James Version.,NULL
94,26,The New Moody Atlas of the Bible (Barry J. Beitzel),17.95,The Moody Atlas of Bible Lands integrates the geography of Bible lands with the teachings of the Bible. Its one hundred thousand words provide useful commentary for more than ninety detailed maps.,NULL
95,26,The One Year Family Devotions,15.95,The One Year Book of Family Devotions offers a full year's worth of delightful stories and relevant Bible passages to boost your family's devotion time.,NULL
96,26,Streams in the Desert by Mrs. Charles E. Cowman,13.99,Streams in the Desert is a legacy of faith and wisdom that is time-tested faithfully to the One who alone can slake their spiritual thirst.,NULL
97,26,God's Word for God's Workers by Sam Doherty,17.99,God's Word for God's Workers: A Daily Devotional Guide for Children's Worker.,NULL
98,26,Grandpa Do you Remember When? by Jim Daly,13.95,This latest heirloom-worthy journal will encourage grandfathers to record their legacy of stories.,NULL
99,26,Grandma Do you remember When? by Jim Daly,12.50,In this keepsake journal grandchildren can discover and cherished events that shaped their grandmother's legacy.,NULL

100,11,Reeses pieces peg Bag,2.65,Small pieces of peanut butter chocolate flavor.,NULL
101,11,Skittles Original Peg PA,2.25,Taste each color of the rainbow with every bite.,NULL
102,11,TWIZZLERS Strawberry Candy Twists (4.1 Oz.),1.65,A strawberry flavor treat that can add a twist to your taste buds.,NULL
103,11,Lifesavers Mints,2.2,Keep your breath fresh with the minty flavor if Lifesavers mints.,NULL
104,11,StarLight Mints,1.25,StarLight Mints will keep your breath fresh with a hint of sweetness.,NULL
105,11,M&M Peanut Chocolate Candy (1.74 Oz.),2.65,Made with roasted peanuts covered in chocolate to satisfy anyone's sweet tooth.,NULL
106,11,M&M Peanut butter Chocolate Candy (1.74 Oz.),2.65,Made with creamy peanut butter and real milk chocolate.,NULL
107,11,M&M Milk Chocolate Candy (1.74 Oz.),2.65,Made with real milk chocolate.,NULL
108,11,Harbio Goldbears Gummi Candy (5 pound),1.45,Contains 5 fruity flavors which can please any sweet tooth.,NULL
109,11,SweeTARTS Gummies Candy (12 Oz.),1.95,SweeTARTS Gummy fruit is bursting with different flavors.,NULL
110,11,LifeSavers Gummies,2.20, Sweeten up your day with a pack of LifeSavers Gummies which consists of numerous flavors.,NULL
111,11,Welch's Fruit Snack,1.40,Delicious Fruit Snacks where Fruit is the 1st Ingredient.,NULL
112,11,Planters Salted Peanuts (1 Oz.),0.95,Planters Salted Peanuts follow the original Planters recipe. Each peanut is finely seasoned with sea salt to enhance the natural roasted nut flavor.,NULL
113,11,KitKat Chocolate Candy Bar,0.95,Take a break and enjoy a 5 layer of wafers covered in milk chocolate treat.,NULL
114,11,HERSHEY'S Cookies 'n' Creme Candy Bar,0.95,A swirling delicious white chocolate flavored creme with yummy chocolate cookie bits.,NULL
115,11,SNICKERS Chocolate Candy Bar,0.95,Made with caramel; nougat; peanuts and milk chocolate that no one can resist.,NULL
116,11,TWIX Caramel Chocolate Cookie Candy Bar,0.95,A savory caramel covering a cookie coated in delicious chocolate. Take a pause and enjoy a TWIX.,NULL
117,15,Nature Valley Almond Butter Granola Cups,1.15,A creamy delicious treat made to satisfy any hunger.,NULL
118,12,Hostess Donettes Mini Glazed Donuts,1.65,A delicious white cake covered with a sweet glaze. This is a perfect quick snack for those busy mornings.,NULL
119,12,Nissin Top Ramen Chicken Flavor,0.55,Nissin top ramen is perfect for a quick meal bursting with an amazing chicken flavor.,NULL
120,12,Nissin Chow Mein Premium Teriyaki Beef,1.75,An authentic restaurant quality Asian chow mein with vegetables that can be made within 5 minutes.,NULL
121,12,Indomie Instant Noodles Soup Special Chicken Flavor,0.93,Indomie is perfect for a quick meal bursting with an amazing chicken flavor,NULL
122,12,Indomie Mi Goreng Instant Halal Hot and Spicy Stir Fry Noodles,0.93,Indomie hot and spicy flavor is perfect for a quick meal. It's spicy flavor adds just the right kick.,NULL
123,12,Kellogg's Rice Krispies Treats Crispy,2.30,Make snack time a little sweeter with Snap with a little Crackle and a Pop.,NULL
124,12,ACT II Butter Lovers Microwave Popcorn,0.35,ACT II popcorn has the perfect blend of rich butter flavor and just the right amount of salt.,NULL
125,13,Chex Mix Traditional Snack Mix (3.75 Oz.),1.75,Chex Mix is made of Chex wheat; pretzels; rye chips and mini breadsticks combined with a unique seasoning blend for a one-of-a-kind snack.,NULL
126,13,Chex Mix Bold Party Blend (3.75 Oz.),1.75,A zesty array of corn Chex wheat; mini breadsticks; pretzels and rye chips.,NULL
127,13,COMBOS Cheddar Cheese Backed Cracker (0.93 Oz.),0.75,Made with real cheese combos are perfect for a quick on the go snack.,NULL
128,13,Lay's Classic Potato Chips (1 Oz.),1.25,A crispy and delicious snack perfect for any event.,NULL
129,13,Lay's Potato Chips Barbecue (1 Oz.),1.25,Seasoned to capture all the delicious flavors of a backyard barbecue.,NULL
130,13,Ruffles Cheddar & Sour Cream Flavored Potato Chips (1 Oz.),1.25,Delicious flavors of real cheddar cheese and fresh sour cream for a unique taste experience.,NULL
131,13,Doritos Nacho Cheese Flavored Tortilla Chip- 1 Ounce,1.25,Crunchy and delicious tortilla chips perfect for any setting.,NULL
132,13,Tostitos Scoops! Party Size Tortilla Chips,3.25,Real corn tortillas perfect for dipping.,NULL
133,13,Pringles Original Flavored Potato Crisps Chips (5.2 Oz.),2.55,Satisfy your snack craving with the irresistible taste of original potato chip.,NULL
134,13,Pringles Salt & Vinegar Flavored Potato Crisps Chips (5.2 Oz.),2.55,Satisfy your snack craving with the irresistible taste of salt & vinegar potato chip.,NULL
135,14,OREO King size 10 ,1.56,Enjoy an Oreo sandwich with even more rich creme filling between the bold taste of two chocolate wafers,NULL
136,16,BORDEN Dutch Chocolate Milk- PINT,1.45,Made with milk dutch chocolate with creamy rich taste.,NULL
137,16,BORDEN Whole Milk- PINT,1.45,BORDEN whole milk rich in vitamin D.,NULL
138,16,Simply Orange Pulp Free Orange Juice,1.85,Experience the delicious taste of Simply 100% orange juice.,NULL
139,16,Savia Aloe Vera Pineapple Juice,1.55,Savia Aloe Vera is packed with vitamin C and a perfect fusion of flavor.,NULL
