"p_id","category","product_name","price","descript","color"
140,16,SToK Vanilla Cold Brew Coffee,3.25,SToK coffee is brewed at lower temperatures to bring out every bold flavor.,NULL
141,16,SToK Mocha Cold Brew Coffee,3.25,SToK coffee is brewed at lower temperatures to bring out every bold flavor.,NULL
142,16,Arizona Extra Sweet Green Tea (23 Fl. Oz),0.99,Arizona Green Tea is an all-natural tea infused with ginseng and sweetened with Sue Bee Premium Orange Honey.,NULL
143,16,Arizona Green Tea with Honey (23 Fl. Oz.),0.99,Arizona Green Tea is an all-natural tea infused with ginseng and sweetened with Sue Bee Premium Orange Honey.,NULL
144,16,Arizona Fruit Punch Juice Cocktail (23 Fl. Oz.),0.99,Arizona Fruit Punch is made with all natural flavors and is filled with vitamin C.,NULL
145,16,Arizona Unsweetened Sweet Tea (23 Fl. Oz.),0.99,Arizona Unsweetened Tea is made with 100% natural flavors.,NULL
146,16,Arizona Watermelon (23 Fl. Oz.),0.99,Arizona Fruit Punch is made with all natural flavors and is filled with vitamin C.,NULL
147,16,Powerade Orange Sports Drink (32 Fl. Oz),1.95,Powerade is filled with advanced Electrolyte System helps replenish four electrolytes lost in sweat.,NULL
148,16,Powerade  Fruit Punch Sports Drink (32 Fl. Oz.),1.95,Powerade is filled with advanced Electrolyte System helps replenish four electrolytes lost in sweat.,NULL
149,16,DrPepper Soda (20 Fl. Oz.),1.55,DrPepper is a soft drink with an authentically different taste that consists of  23 signature flavors blended into one deliciously unique beverage.,NULL
150,16,Dasani Purified Water (10 Fl. Oz.),1.16,Dasani water is enhanced with minerals for a pure fresh taste.,NULL
151,16,Coca-Cola Bottle (20 Fl. Oz.),1.55,Enjoy Coca-Cola's delicious taste with meals or on the go.,NULL
152,16,Sprite Bottle (20 Fl. Oz.),1.55,Sprite is made with lemon-lime flavor to quench your thirst.,NULL
153,17,Hot Pockets Pepperoni Pizza,3.95,Hot Pocket is made with 100% real cheese and is filled with flavors that will keep you feeling full.,NULL
154,17,Blue Bell Gold Rim Homemade Vanilla Ice Cream (64 OZ),2.95,Blue Bell homemade-tasting vanilla ice cream with a special hand-crafted flavor that's the best in the country.,NULL

155,18,Dove Men+Care Body and Face Wash Clean Comfort 13.5 Oz,5.75,Dove Men+Care Clean Comfort Body Wash provides hydration for healthier and stronger skin.,NULL
156,18,Lady Speed Stick Antiperspirant Deodorant 2.3 Oz,3.09,Freshness Morning to Night! Lady Speed Stick Power Antiperspirant Deodorant leverages fragrance encapsulation technology to provide a burst of freshness when you need it in addition to 24-hour protection against odor and wetness.,NULL
157,18,Edge Sensitive Skin Shave Gel for Men with Aloe 7 Oz,4.85,Our blend of moisturizers and lubricants provides excellent razor glide with cooling conditioners leave your face feeling refreshed.,NULL
158,18,Listerine Freshburst Antiseptic Mouthwash,4.05,Protect your mouth from germs and get fresh breath with Listerine Freshburst Antiseptic Mouthwash.,NULL
159,18,Irish Spring Original Body Wash 18 fl oz,3.00,Irish Spring Original fresh scent and rich lathering formula leaves you feeling clean as a whistle.,NULL
160,18,Sure Original Solid Anti Perspirant and Deodorant,2.25,Original Solid Regular Scent AntiPerspirant Deodorant by Sure for Unisex - 2.7 oz Deodorant.,NULL
161,18,AXE Body Wash Kilo,4.95,A body wash for men with a refreshing fragrance to kick off or end your day.,NULL
162,18,Suave Men 2 in 1 Hair and Body Wash 28 oz,2.35,A dual action shampoo and body wash - with just a hint of musk and sandalwood.,NULL
163,18,Dove Deep Moisture Body Wash 22 fl oz,6.95,Formula with NutriumMoisture technology delivers skin natural nutrients and nourishes deep into the surface layers of the skin.,NULL
164,20,Celestial Seasonings Sinus Soother,8.30,Celestial Seasoning sinus soother is made with soothing tulsi & nettle; promotes respiratory comfort.,NULL
165,18,Playtex Simply Gentle Glide Unscented Tampons,6.00,Playtex 360° protection and incredible comfort with a unique two-layer and cross pad design that opens equally all around.,NULL
166,18,Always Discreet Incontinence Bladder Liners,3.45,Thin and flexible design gives you discreet incontinence protection.,NULL
167,19,Eco Styler Olive Oil Styling Hair Gel 16oz,2.98,Eco Professional Styling Gel Olive Oil helps you get the look that you want. It's suitable for use on all hair types for added versatility.,NULL
168,25,e.l.f. Cosmetics Blending Sponge,6.20,Now Latex Free! The e.l.f. Cosmetics Blending Sponge flawlessly applies makeup for professionally even and smooth looking skin.,NULL
169,25,Make Up Eraser,15.4,Removes Your MakeUp with Just Water - 15 units.,NULL
170,20,Vaseline Lip Therapy,1.35,This Vaseline lip moisturizer gives lips a natural and glossy shine.,NULL
171,20,ChapStick Cherry Lip Balm,1.90,ChapStick helps prevent and heal dry chapped lips.,NULL
172,25,Swisspers Premium Cotton Rounds,3.25,Patented stitched edge technology binds all layers together so pad doesn't separate during use.,NULL
173,20,Advil Pain Reliever/Fever Reducer Tablets - Ibuprofen (NSAID),5.25,The medicine in Advil is #1 doctor recommended medicine that relieves minor aches and pains.,NULL
174,20,Vicks NyQuil and DayQuil SEVERE Cough,18.65,Vicks delivers maximum symptom-fighting ingredients to relieve your worst cold & flu symptoms.,NULL
175,20,Emergen-C Vitamin C 1000mg Powder,0.45,Emergen-C is flavored vitamin mix made with natural fruit flavors for a delicious Super Orange taste.,NULL
176,20,Alka-Seltzer Original Effervescent Tablets,3.50,Get fast relief of heartburn and acid indigestion with headache and body aches from this effervescent antacid pain reliever that has been around for more than 80 years.,NULL
177,20,HALLS Honey Lemon Flavor Menthol Drops,2.55,Triple soothing action. Soothes sore throats. Relieves coughs. Cools nasal passages.,NULL
178,20,Tylenol Extra Strength Caplets with 500 mg Acetaminophen,2.35,Tylenol Extra Strength caplets help reduce fever and provide temporary relief of minor aches and pains.,NULL
179,20,Pepto Bismol Liquid,3.55,Pepto Bismol is the #1 Pharmacist Recommended Brand for Upset Stomachs.,NULL
180,20,Tylenol Cold & Flu Severe,7.95,Tylenol Cold + Flu tackle your tough cold and flu symptoms by clearing congestion and quieting coughs. Tylenol also relieves head and body aches.,NULL
181,20,Clear Eyes Redness Relief Eye Drops,4.70,Clear Eyes Redness Relief Eye Drops relieve redness from minor irritations and protect against further irritations.,NULL
182,20,Vicks NyQuil Nighttime Cold & Flu Symptom,9.15,Vicks delivers maximum symptom-fighting ingredients to relieve your worst cold & flu symptoms.,NULL
183,20,Good Sense Hydrogen Peroxide,1.10,An essential component of medicine cabinets and first aid kits.,NULL
184,20,GoodSense Isopropyl Alcohol,1.85,An essential component of medicine cabinets and first aid kits.,NULL
185,18,Revlon Toenail Clipper,2.39,Revlon clippers have curved blades follow toenail shape for safe tri millimetersing and shaping.,NULL
186,18,Q-Tips Cotton Swabs,1.65,Q-tips cotton swabs are the Ultimate Home and Beauty Tool. With the most soft cotton at the tip from the end of the stick to the top of the swab and a gently flexible stick.,NULL
187,20,BAND-AID Waterproof Tough-Strips Bandages,4.05,BAND-AID is 100% Waterproof. With superstick adhesive to stay on longer. Up to 2X stronger than ordinary waterproof bandages.,NULL
188,18,Reach Waxed Dental Floss,1.65,Reach Mint Waxed Dental Floss is Reach ’s number-one-selling floss. This mint floss is waxed to slide easily between teeth while it removes plaque and food particles.,NULL
189,18,Colgate Toothbrushes Premier Extra Clean,1.05,Colgate Premier toothbrushes help maintain healthy gums without irritation.,NULL
190,18,Crest Cavity Protection Liquid Gel Toothpaste Cool Mint 8.2oz,1.45,Crest Cavity Protection Toothpaste gives you a cavity treatment that helps take care of your mouth by protecting your teeth and exposed roots.,NULL
191,18,Gillette Daisy Classic Women’s Disposable Razor,2.85,Gillette comfort razor blades are thin to glide for comfort.,NULL
192,21,Kitsch Spiral Hair Ties,5.95,The spiral design of telephone cord hair ties spreads the “pressure” of the hair elastic out over a greater surface area of your hair.,NULL
193,18,Burt's Bees facial cleaning towelettes with white Tea Extract,4.95,Burt's Bees cleansing cloths contain no parabens or petrolatum.,NULL
194,18,Burt's Bees Fragrance Free Shea Butter Body Lotion,9.95,Hypoallergenic Burt's Bees Fragrance Free Shea Butter and Vitamin E Body Lotion nourishes all skin types.,NULL
195,25,e.l.f. Highlighting  & Blending Sponge,6.00,e.l.f dual ended sculpting sponge that provides highlighting on one side and blending on the other.,NULL
196,25,e.l.f. Precision Concealer Sponge,6.00,The e.l.f. Cosmetics Precision Sponge Trio latex free material allows for a controlled used for flawless application and blending.,NULL
197,25,e.l.f. Powder Brush,12.00,Create flawless looking skin with help from the Studio Powder Brush from e.l.f. Cosmetics.,NULL
198,25,e.l.f. Foundation Brush,2.00,e.l.f's tapered bristles are designed to contour your face for a flawless finish.,NULL
199,25,e.l.f. Concealer Brush,1.00,The unique rounded shape allows you to contour and cover areas easily. Create buildable coverage from light to heavy for a customizable look that is smooth and flawless.,NULL
200,25,e.l.f. Luminous Matte Makeup Primer,8.00,This makeup base primes the skin for long wear. It also helps moisturize and brighten skin appearance.,NULL
201,25,e.l.f. Prime and Stay Finishing Powder,2.00,Erase fine lines and have a shine free complexion every day! The translucent powder in this compact is great for setting foundation or a quick midday touch up.,NULL
202,25,e.l.f. Lock On Liner & Brow Cream Light Brown,4.00,This eyebrow pomade glides on smoothly to sculpt and define brows.,NULL
203,25,e.l.f. Lock On Liner & Brow Cream Espresso,4.00,This eyebrow pomade glides on smoothly to sculpt and define brows.,NULL
204,25,e.l.f. Cosmetics Shape and Stay Clear Wax Pencil,2.00,This clear wax pencil helps shape and tame brows for a flawless look that stays put.,NULL
205,25,e.l.f. Instant Lift Brow Pencil,2.00,Dual-sided brow pencil that creates natural and polished brows.,NULL

206,31,Tide To Go Instant Stain Remover Liquid Pen,4.15,Tide To Go helps remove some of the toughest fresh food and drink stains.,NULL
207,31,Bounce Fabric Softener Dryer Sheets,4.35,Classic Bounce outdoor fresh scent that helps reduce wrinkles.,NULL
208,28,Shout Triple-Acting Stain Remover Spray 22 fl oz,4.85,Shout Triple-Acting Stain Remover Spray's stain-fighting ingredients and enzymes quickly penetrates and breaks up and remove tough stains.,NULL
209,31,Tide PODS Liquid Laundry Detergent Pacs,6.25,Tide PODS laundry detergent pacs offer surprisingly powerful clean in 1 step.,NULL
210,30,Sharpty White Plastic Hangers 20 pack,9.99, No more messy piles of clothing in your cabinet! SHARPTY PLASTIC HANGERS feature a super slim design to help you maximize your closet space while making it tidy and organized!,NULL
211,31,Easy-On Speed Starch Fabric Care Spray Crisp Linen,3.50,Easy-On Speed Starch makes ironing easy! Easy On Speed Starch fabric care spray is safe for most textiles.,NULL
212,31,Scotch-Brite Lint Roller,2.75,Scotch-Brite Lint Roller tears cleanly down to the last sheet and picks up just about anything.,NULL
213,29,Angel Soft Toilet Paper,4.95,Angel Soft toilet paper is designed with softness and strength at a price that won't break the bank.,NULL
214,30,Sewing Kit,1.55,This is a small portable sewing kit with basic notions.,NULL
215,28,Cedar Scrub Brush,3.20,This uniquely designed kitchen brush helps rinse the angled bristles clean of dish and glass debris.,NULL
216,29,Scott Standard 1-Ply Toilet Paper Rolls,1.50,Scott single ply toilet paper provides home-like comfort at your place of business.,NULL
217,30,Mason Jar Sewing Kit,7.70,Kikkerland unscrewable pin cushion lid to reveal entire sewing kit.,NULL
218,28,POM Paper Towels,0.99,POM's popular 2-ply perforated roll towels offer reliable performance for everyday cleaning and wiping tasks.,NULL
219,28,Clorox Disinfecting Wipes,1.85,Clorox Disinfecting Wipes is an all-purpose wipe that cleans and disinfects with antibacterial power killing 99.9% of viruses and bacteria.,NULL
220,30,Renuzit Air Freshner- Pure Breeze,2.50,Keep your home smelling fresh with Renuzit Pearls. Great for continuous freshness in your home.,NULL
221,28,Scotch-Brite Scrub Dots,4.00, Eliminate the toughest baked on messes with a scrub sponge that scrubs fast and stays clean. The innovative scrub dots cut through messes and rinse clean.,NULL
222,28,Joy Lemon Scent Dishwashing Soap,2.05,Dishwashing liquid that's powerful. A litle goes a long way.,NULL
223,29,Purell Hand Sanitizer,1.70,Kills the most germs1 – Just 1 squirt of PURELL Advanced Hand Sanitizer kills as many germs as 2 squirts of any other national brand.,NULL
224,28,Windex Original Glass Cleaner Trigger 23 fl oz,3.70, Give Life a Sparkle with Windex cleaners!Windex starts working on smudges and smears even before you wipe.,NULL
225,30,Baumgartens Ear Plug,1.95,Earplugs block out noises that could be harmful and have long-lasting effects.,NULL
226,28,Mr. Clean Magic Eraser,3.70,It has Stronger cleaning performance it can remove your home’s toughest messes like magic.,NULL
227,30,Glad Tall Kitchen Bags,4.25,Glad 13 Gallon trash bags support an active kitchen and provide a versatile plastic bag to tackle any household or office chore.,NULL
228,30,Parade Assorted Cutlery,0.95,Parade Plastic Cutlery Assorted (Forks/Spoons and Knifes).,NULL
229,30,Reynolds Wrap Standard Aluminum Foil,2.35,Reynolds Wrap Standard Aluminum Foil has the trusted strength and quality you can count on for cooking delicious meals with easy cleanup.,NULL
230,30,Paper Sandwich Bags,2.55,Reynolds Kitchens Wax Paper Sandwich Bags give you the food storage solution you need in a product that you can feel good about using.,NULL
231,30,Bubba Classic Insulated Travel Mug,10.95,Keeps hot beverages hot and cold beverages cold for hours with no sweating thanks to dual-wall foam insulation.,NULL
232,30,Designworks Ink ID Keychain Gold,9.25,Designworks Ink stationery products speak to the personality of each writer.,NULL
233,30,Digital Luggage Scale,9.25,No more over-weight luggage fees at the airport! This luggage scale allows you to properly weigh your luggage before you get to the airport.,NULL
234,30,Travelon Set of 2 Luggage Tags,3.10,Who says luggage tags have to be boring. Brighten up your black bag with these fun tags from Travelon.,NULL
235,31,Tera Grand Sync & Charge Micro USB Cable With Aluminum Housing,6.10,HIGHLY COMPATIBLE - Compatible with most Android and Windows phones and many other devices with a Micro USB Port.,NULL
236,31,Cotton Braided Charging Cable,12.95,This is one phone charging cord you won't want to hide away.,NULL
237,31,Tera Grand Sync & Charge Micro USB Cable Dual Reversible,5.55,2-in-1 USB Cable with both Micro USB and Lightning Connectors Apple MFi certified Lightning adapter.,NULL
238,31,Happy Plugs Earbuds,29.25,Happy Plugs Earbuds are perfect as an everyday accessory to be mixed and matched with your outfit of the day.,NULL
239,31,Maxell Color Buds Earbuds with Mic Black,4.75,The Maxell color buds with mic are a comfortable and lightweight design that has a dynamic sound reproduction from all sources.,NULL
240,31,Pop Charger Emergency Charger,5.99,Pop Charger Pre-Charged Disposable Emergency Charger compatible with Android.,NULL
241,31,SportFit Wireless High Fidelity Earbuds,16.35,HD sound with deep bass & clear audio; Winged tips keep earbuds in place through high-intensity workouts.,NULL
242,31,Kikerland Felt Safe Slot,5.75,This universal mobile phone case offers space for up to 3 cards.,NULL
243,31,Kikkerland Fold Out Tech Pocket,6.15,Your essential "to go" wallet with flex band attaches to any phone or tablet.,NULL
244,31,Thread Wallets iPhone X Phone Case,23.65,This Thread Wallets credit card holder is a slim phone case wallet. Conveniently carry your essentials in one hand while maintaining a slim profile.,NULL
245,31,Thread Wallets iPhone 6+/6s+/7+/8+ Phone Case,25.95,This Thread Wallets credit card holder is a slim phone case wallet. Conveniently carry your essentials in one hand while maintaining a slim profile. ,NULL
246,31,Case-Mate - Qi Certified Wireless Charger - Power PAD Black,29.95,Case Mate unique phone shaped design allows full use while charging in stand or using lay flat pad.,NULL
247,31,Kikkerland 3-in-1 Cable,6.20,Charge any of your devices with the interchangeable built-in Micro USB/USB-C and Lightning connectors.,NULL
248,31,Kikkerland Charge and Listen,3.10,Kirkkerland 2 in 1 design splits lightning port allows you to charge your phone while using your headphones. iPhone 7 and up compatible.,NULL
249,31,Emergency Tech Kit,5.50,Emergency Tech Kit allows you to clean and organize your tech supplies while on the go!,NULL
250,31,Phone Mirror,7.75,This mirror adheres tightly to all devices and cases. It is also easy to apply and remove.,NULL
251,31,PopSockets American Flag,7.75,A Pop Sockets grip is more than a stylish phone accessory. It’s an opposable thumb for your phone.,NULL
252,31,PopSockets Black,7.75,A Pop Sockets grip is more than a stylish phone accessory. It’s an opposable thumb for your phone.,NULL
253,31,Slant Enamel Phone Ring,6.20,This phone ring allows you to easily handle your phone or use it hands-free. The phone ring attaches quickly to the back of your phone,NULL
254,31,Tera Grand 3.1A Dual Port USB Wall Charger,7.65,Tera Grand dual wall charger allows you to charge up to two devices.,NULL
255,31,Tera Grand Mobile Power Bank,30.60,Unrivaled power in a small package. The ideal travel item that provides the power you need to stay charged whiles on the go.,NULL

256,32,Pensacola Christian Short Sleeve By Champion,13.25,100% Cotton tee with 'Eagles Mascot' on the front.,Oxford
257,32,Eagles Sweatshirt,28.95,Sweatshirt with the word 'Eagles' on the front.,Gray
258,32,Pensacola Christian Eagles Hoodie By Champion,28.50,Hoodie with 'Pensacola Christian Eagles' on the front.,Royal Blue
259,32,Pensacola Christian Eagle Print Hoodie By Champion,29.55,Hoodie with 'Eagles Mascot' on back.,Marine Navy
260,32,Pensacola Christian Hoodie By Under Armour,48.00,Hoodie with 'Pensacola Christian' on front.,Athletic Heather
261,32,Pensacola Christian Long Sleeve By Champion,17.25,Long Sleeve with 'Pensacola Christian' on the front.,White
262,32,Womens Eagles By Champion,13.95,Women's Royal Blue tee with Eagles on front.,Royal Blue
263,32,Pensacola Christian PCC By Gear,17.50,Distressed tee with 'Pensacola Christian PCC' on the front.,Heather
264,32,Womens Pensacola Christian Eagles 1974 By Champion,20.80,Womens tee shirt with 'Pensacola Christian Eagles 1974' on the front.,Pale Blush
265,32,Polo Eagles Mascot By Under Armour,36.00,Heatgear Fabric with 'Eagles Pensacola Christian College' and the Eagle mascot positioned on the front.,Royal Blue
266,32,Womens Adjustable PCC Eagles Hat,27.35,Neon Pink Hat with embroidered 'PCC Eagles' on side front by Under Armour.,Neon Pink
267,32, Polo Performance Stripe Pensacola Christian College Eagles By Under Armour,49.95,Polo Stripe with 'Eagles Pensacola Christian College' on the front.,Midnight
268,32,Polo Pensacola Christian College Eagles By Under Armour,38.50,Gray polo with 'Pensacola Christian College Eagles' Embroidered in navy on the front.,Graphite
269,32,Adjustable Eagle Mascot Hat By Under Armour,21.15,Adjustable hat with PCC eagles mascot on the front and 'Pensacola Christian' embroidered on the back.,Graphite
270,32,Adjustable PCC Eagle Hat By Champion,16.20,Adjustable hat with PCC Eagles mascot on the front.,Royal Blue
271,33,License Plate Frame Alumni,16.30,A metal 'Pensacola Christian College Alumni' license plate frame.,NULL
272,33,Mug Pensacola Christian College Alumni Medallion,13.95,Navy blue ceramic with 'Pensacola Christian College' in white and a medallion with 'alumni'.,Navy
273,33,Keychain Pensacola Christian College Alumni,6.50,Metal 'Pensacola Christian Eagles Alumni' keychain in royal blue.,Royal Blue
274,33,Plastic Tumbler Pensacola Christian College Eagles'.,13.95,Plastic Tumbler perfect for keeping any drink cool on the go.,Blue
275,33,Mug Pensacola Christian College Graduation Cap Medallion,13.95,Navy blue ceramic mug with 'Pensacola Christian College' in white and a  medallion with a graduation cap.,Navy
276,33,Pensacola Christina College Eagles Plastic Cup,3.75,Plastic cup with 'Pensacola Christian College eagles' and the school eagle head in white on the front.,Royal Blue
277,33,Keychain Pensacola Christian College Seal,6.50,Metal keychain of the Pensacola Christian College seal in royal blue.,Royal Blue
278,33,Id Card Lanyard Pensacola Christian College,6.75,Royal blue cloth lanyard with 'Pensacola Christian College' in white with a plastic card holder.,Royal Blue
279,33,Keychain Eagle Head,6.95,Metal eagle head keychain.,NULL
280,33,10 inch Eagles Stuffed Animal W/ PCC Eagles T-Shirt,8.25,PCC Stuffed animal eagle with blue Pensacola Christian College Eagles t-shirt.,NULL
281,33,Decal Pensacola Christian College Eagles Glitter,6.15,A sparkly decal that says Pensacola Christian College Eagles with the eagle head logo made of high performance indoor/outdoor vinyl.,NULL